Region,group,cohort,week_end,vacc_alive,denom
Powys THB,Clinical risk,Autumn 2025,2025-10-05,3165,15116
Powys THB,Clinical risk,Autumn 2025,2025-10-12,4000,15116
Powys THB,Clinical risk,Autumn 2025,2025-10-19,5147,15116
Powys THB,Clinical risk,Autumn 2025,2025-10-26,5874,15116
Powys THB,Clinical risk,Autumn 2025,2025-11-02,6158,15116
Powys THB,Clinical risk,Autumn 2025,2025-11-09,6849,15116
Powys THB,Clinical risk,Autumn 2025,2025-11-16,7304,15116
Powys THB,Clinical risk,Autumn 2025,2025-11-23,8047,15116
Powys THB,Clinical risk,Autumn 2025,2025-11-30,8458,15116
Powys THB,Clinical risk,Autumn 2025,2025-12-07,8863,15116
Powys THB,Clinical risk,Autumn 2025,2025-12-14,9261,15116
Powys THB,Clinical risk,Autumn 2025,2025-12-21,9534,15116
Powys THB,Clinical risk,Autumn 2025,2025-12-28,9790,15116
Powys THB,Clinical risk,Autumn 2025,2026-01-04,10114,15116
Powys THB,Potentially eligible,Autumn 2025,2025-09-28,1078,13704
Powys THB,Potentially eligible,Autumn 2025,2025-10-05,2864,13704
Powys THB,Potentially eligible,Autumn 2025,2025-10-12,3949,13704
Powys THB,Potentially eligible,Autumn 2025,2025-10-19,4723,13704
Powys THB,Potentially eligible,Autumn 2025,2025-10-26,5811,13704
Powys THB,Potentially eligible,Autumn 2025,2025-11-02,6631,13704
Powys THB,Potentially eligible,Autumn 2025,2025-11-09,7425,13704
Powys THB,Potentially eligible,Autumn 2025,2025-11-16,7863,13704
Powys THB,Potentially eligible,Autumn 2025,2025-11-23,8374,13704
Powys THB,Potentially eligible,Autumn 2025,2025-11-30,8560,13704
Powys THB,Potentially eligible,Autumn 2025,2025-12-07,8949,13704
Powys THB,Potentially eligible,Autumn 2025,2025-12-14,9200,13704
Powys THB,Potentially eligible,Autumn 2025,2025-12-21,9312,13704
Powys THB,Potentially eligible,Autumn 2025,2025-12-28,9613,13704
Powys THB,Potentially eligible,Autumn 2025,2026-01-04,9644,13704
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-09-28,743,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-10-05,1573,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-10-12,2171,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-10-19,2537,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-10-26,2829,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-11-02,3200,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-11-09,3386,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-11-16,3774,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-11-23,4066,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-11-30,4224,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-12-07,4294,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-12-14,4515,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-12-21,4636,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2025-12-28,4805,6964
Swansea Bay UHB,Adults aged 65 years and over,Autumn 2025,2026-01-04,4831,6964
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-09-28,895,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-10-05,1826,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-10-12,2513,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-10-19,3438,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-10-26,4034,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-11-02,4545,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-11-09,5063,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-11-16,5525,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-11-23,5916,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-11-30,6073,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-12-07,6266,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-12-14,6433,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-12-21,6569,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2025-12-28,6679,10175
Swansea Bay UHB,Residents in a care home for older adults,Autumn 2025,2026-01-04,6785,10175
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-09-28,793,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-10-05,1522,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-10-12,1900,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-10-19,2280,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-10-26,2658,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-11-02,3128,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-11-09,3395,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-11-16,3719,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-11-23,3920,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-11-30,4148,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-12-07,4340,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-12-14,4470,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-12-21,4535,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2025-12-28,4620,6544
Swansea Bay UHB,Clinical risk,Autumn 2025,2026-01-04,4761,6544
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-09-28,2090,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-10-05,3660,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-10-12,4973,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-10-19,6512,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-10-26,7745,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-11-02,8373,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-11-09,9109,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-11-16,9795,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-11-23,10612,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-11-30,11194,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-12-07,11575,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-12-14,11949,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-12-21,12032,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2025-12-28,12419,17781
Swansea Bay UHB,Potentially eligible,Autumn 2025,2026-01-04,12724,17781
